time_hours,Reliability,P_fail,P_H,P_M,P_C,P_Q,P_MC,P_QM,P_QC,P_F
240.0,1.0,0.0,2.043740430121959e-73,1.3876739018942154e-75,2.0618239238445164e-76,3.379454647782085e-78,1.182175177526605e-78,1.8023617748625782e-84,1.0,0.0
240.5,1.0,0.0,1.3628201316707475e-73,9.272310846395488e-76,1.3776129235396323e-76,2.2536593565361835e-78,7.912278905906144e-79,1.2019422998911406e-84,1.0,0.0
241.0,1.0,0.0,9.087644810041956e-74,6.195647028162688e-76,9.204516196221724e-77,1.5028994253665532e-78,5.2956298805962703e-79,8.0154012308705e-85,1.0,0.0
241.5,1.0,0.0,6.059881731585311e-74,4.139839304883256e-76,6.149968002032941e-77,1.0022396043441852e-78,3.544295805585764e-79,5.345236314744801e-85,1.0,0.0
242.0,1.0,0.0,4.040889291824319e-74,2.7661672681796486e-76,4.109063812816787e-77,6.68364228668262e-79,2.372130695821811e-79,3.5645815065967113e-85,1.0,0.0
242.5,1.0,0.0,2.6945717741769706e-74,1.8482960646089115e-76,2.7454343481513988e-77,4.4571251832853023e-79,1.5876091646230186e-79,2.37711495828394e-85,1.0,0.0
243.0,1.0,0.0,1.7968116723418746e-74,1.2349881586039215e-76,1.8343296875048934e-77,2.972326145406795e-79,1.0625391173857157e-79,1.585228297358214e-85,1.0,0.0
243.5,1.0,0.0,1.1981615100418417e-74,8.251866811116193e-77,1.2255806333116418e-77,1.982157168453155e-79,7.111195519332096e-80,1.0571422819433484e-85,1.0,0.0
244.0,1.0,0.0,7.98965760432015e-75,5.513657626326797e-77,8.188503791571087e-78,1.3218424936602651e-79,4.759229942362525e-80,7.049771921000032e-86,1.0,0.0
244.5,1.0,0.0,5.327714844724197e-75,3.684050345775938e-77,5.470983399095045e-78,8.814979910027633e-80,3.1851298978595222e-80,4.701286149096693e-86,1.0,0.0
245.0,1.0,0.0,3.552661061638805e-75,2.4615547640932815e-77,3.6553117679454175e-78,5.878451514935072e-80,2.131640758796052e-80,3.1351498315701336e-86,1.0,0.0
245.5,1.0,0.0,2.3690082871801935e-75,1.6447187346428296e-77,2.4422023497857965e-78,3.920166834831586e-80,1.4265838533385175e-80,2.090739440979404e-86,1.0,0.0
